Date,Open,High,Low,Close,Adj Close,Volume
2021-06-10,76.250000,77.139999,76.250000,77.040001,76.173019,203100
2021-06-11,76.750000,77.070000,76.519997,77.050003,76.182907,215500
2021-06-14,74.709999,74.709999,74.000000,74.279999,73.444077,289600
2021-06-15,73.779999,74.000000,73.150002,73.230003,72.405899,327900
2021-06-16,72.250000,72.250000,70.610001,71.410004,70.606377,319400
2021-06-17,72.790001,74.209999,72.449997,73.550003,72.722298,480100
2021-06-18,74.180000,74.180000,73.440002,73.589996,72.761841,279600
2021-06-21,73.400002,74.250000,73.300003,74.250000,73.414413,255300
2021-06-22,73.010002,73.870003,73.000000,73.699997,72.870605,211900
2021-06-23,72.000000,72.699997,72.000000,72.010002,71.199623,202500
2021-06-24,72.059998,73.339996,72.059998,72.800003,71.980736,210500
2021-06-25,72.260002,72.769997,72.010002,72.379997,71.565460,255600
2021-06-28,72.790001,73.900002,72.709999,73.580002,72.751961,359200
2021-06-29,72.580002,73.370003,72.489998,73.099998,72.277359,410200
2021-06-30,72.480003,73.040001,72.309998,72.529999,71.713768,203300
2021-07-01,72.260002,72.870003,72.029999,72.410004,71.595123,162600
2021-07-02,73.459999,73.559998,72.919998,73.459999,72.633308,140900
2021-07-06,75.220001,75.519997,75.010002,75.290001,74.442711,299900
2021-07-07,75.169998,75.449997,74.760002,74.809998,73.968109,434300
2021-07-08,72.610001,72.870003,70.040001,71.250000,70.448174,227200
2021-07-09,71.459999,72.690002,71.459999,72.690002,71.871971,226700
2021-07-12,71.730003,72.510002,71.730003,72.099998,71.288612,158900
2021-07-13,71.500000,71.889999,71.070000,71.410004,70.606377,183900
2021-07-14,72.690002,72.690002,71.440002,72.120003,71.308388,215000
2021-07-15,72.120003,72.129997,70.879997,71.150002,70.349304,613100
2021-07-16,70.500000,71.150002,70.500000,70.550003,69.756058,231800
2021-07-19,69.360001,69.970001,68.599998,69.000000,68.223495,1107100
2021-07-20,68.739998,68.739998,68.110001,68.550003,67.778564,2704600
